DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050915,15/09/2005,5,Thursday,Jueves,Jeudi,15,258,37,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050916,16/09/2005,6,Friday,Viernes,Vendredi,16,259,38,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050917,17/09/2005,7,Saturday,Sábado,Samedi,17,260,38,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050918,18/09/2005,1,Sunday,Domingo,Dimanche,18,261,38,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050919,19/09/2005,2,Monday,Lunes,Lundi,19,262,38,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050920,20/09/2005,3,Tuesday,Martes,Mardi,20,263,38,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050921,21/09/2005,4,Wednesday,Miércoles,Mercredi,21,264,38,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050922,22/09/2005,5,Thursday,Jueves,Jeudi,22,265,38,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050923,23/09/2005,6,Friday,Viernes,Vendredi,23,266,39,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050924,24/09/2005,7,Saturday,Sábado,Samedi,24,267,39,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050925,25/09/2005,1,Sunday,Domingo,Dimanche,25,268,39,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050926,26/09/2005,2,Monday,Lunes,Lundi,26,269,39,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050927,27/09/2005,3,Tuesday,Martes,Mardi,27,270,39,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050928,28/09/2005,4,Wednesday,Miércoles,Mercredi,28,271,39,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050929,29/09/2005,5,Thursday,Jueves,Jeudi,29,272,39,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20050930,30/09/2005,6,Friday,Viernes,Vendredi,30,273,40,September,Septiembre,Septembre,9,3,2005,2,1,2006,1
20051001,01/10/2005,7,Saturday,Sábado,Samedi,1,274,40,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051002,02/10/2005,1,Sunday,Domingo,Dimanche,2,275,40,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051003,03/10/2005,2,Monday,Lunes,Lundi,3,276,40,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051004,04/10/2005,3,Tuesday,Martes,Mardi,4,277,40,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051005,05/10/2005,4,Wednesday,Miércoles,Mercredi,5,278,40,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051006,06/10/2005,5,Thursday,Jueves,Jeudi,6,279,40,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051007,07/10/2005,6,Friday,Viernes,Vendredi,7,280,41,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051008,08/10/2005,7,Saturday,Sábado,Samedi,8,281,41,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051009,09/10/2005,1,Sunday,Domingo,Dimanche,9,282,41,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051010,10/10/2005,2,Monday,Lunes,Lundi,10,283,41,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051011,11/10/2005,3,Tuesday,Martes,Mardi,11,284,41,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051012,12/10/2005,4,Wednesday,Miércoles,Mercredi,12,285,41,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051013,13/10/2005,5,Thursday,Jueves,Jeudi,13,286,41,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051014,14/10/2005,6,Friday,Viernes,Vendredi,14,287,42,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051015,15/10/2005,7,Saturday,Sábado,Samedi,15,288,42,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051016,16/10/2005,1,Sunday,Domingo,Dimanche,16,289,42,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051017,17/10/2005,2,Monday,Lunes,Lundi,17,290,42,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051018,18/10/2005,3,Tuesday,Martes,Mardi,18,291,42,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051019,19/10/2005,4,Wednesday,Miércoles,Mercredi,19,292,42,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051020,20/10/2005,5,Thursday,Jueves,Jeudi,20,293,42,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051021,21/10/2005,6,Friday,Viernes,Vendredi,21,294,43,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051022,22/10/2005,7,Saturday,Sábado,Samedi,22,295,43,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051023,23/10/2005,1,Sunday,Domingo,Dimanche,23,296,43,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051024,24/10/2005,2,Monday,Lunes,Lundi,24,297,43,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051025,25/10/2005,3,Tuesday,Martes,Mardi,25,298,43,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051026,26/10/2005,4,Wednesday,Miércoles,Mercredi,26,299,43,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051027,27/10/2005,5,Thursday,Jueves,Jeudi,27,300,43,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051028,28/10/2005,6,Friday,Viernes,Vendredi,28,301,44,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051029,29/10/2005,7,Saturday,Sábado,Samedi,29,302,44,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051030,30/10/2005,1,Sunday,Domingo,Dimanche,30,303,44,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051031,31/10/2005,2,Monday,Lunes,Lundi,31,304,44,October,Octubre,Octobre,10,4,2005,2,2,2006,1
20051101,01/11/2005,3,Tuesday,Martes,Mardi,1,305,44,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051102,02/11/2005,4,Wednesday,Miércoles,Mercredi,2,306,44,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051103,03/11/2005,5,Thursday,Jueves,Jeudi,3,307,44,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051104,04/11/2005,6,Friday,Viernes,Vendredi,4,308,45,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051105,05/11/2005,7,Saturday,Sábado,Samedi,5,309,45,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051106,06/11/2005,1,Sunday,Domingo,Dimanche,6,310,45,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051107,07/11/2005,2,Monday,Lunes,Lundi,7,311,45,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051108,08/11/2005,3,Tuesday,Martes,Mardi,8,312,45,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051109,09/11/2005,4,Wednesday,Miércoles,Mercredi,9,313,45,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051110,10/11/2005,5,Thursday,Jueves,Jeudi,10,314,45,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051111,11/11/2005,6,Friday,Viernes,Vendredi,11,315,46,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051112,12/11/2005,7,Saturday,Sábado,Samedi,12,316,46,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051113,13/11/2005,1,Sunday,Domingo,Dimanche,13,317,46,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051114,14/11/2005,2,Monday,Lunes,Lundi,14,318,46,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051115,15/11/2005,3,Tuesday,Martes,Mardi,15,319,46,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051116,16/11/2005,4,Wednesday,Miércoles,Mercredi,16,320,46,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051117,17/11/2005,5,Thursday,Jueves,Jeudi,17,321,46,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051118,18/11/2005,6,Friday,Viernes,Vendredi,18,322,47,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051119,19/11/2005,7,Saturday,Sábado,Samedi,19,323,47,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051120,20/11/2005,1,Sunday,Domingo,Dimanche,20,324,47,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051121,21/11/2005,2,Monday,Lunes,Lundi,21,325,47,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051122,22/11/2005,3,Tuesday,Martes,Mardi,22,326,47,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051123,23/11/2005,4,Wednesday,Miércoles,Mercredi,23,327,47,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051124,24/11/2005,5,Thursday,Jueves,Jeudi,24,328,47,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051125,25/11/2005,6,Friday,Viernes,Vendredi,25,329,48,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051126,26/11/2005,7,Saturday,Sábado,Samedi,26,330,48,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051127,27/11/2005,1,Sunday,Domingo,Dimanche,27,331,48,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051128,28/11/2005,2,Monday,Lunes,Lundi,28,332,48,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051129,29/11/2005,3,Tuesday,Martes,Mardi,29,333,48,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051130,30/11/2005,4,Wednesday,Miércoles,Mercredi,30,334,48,November,Noviembre,Novembre,11,4,2005,2,2,2006,1
20051201,01/12/2005,5,Thursday,Jueves,Jeudi,1,335,48,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051202,02/12/2005,6,Friday,Viernes,Vendredi,2,336,49,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051203,03/12/2005,7,Saturday,Sábado,Samedi,3,337,49,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051204,04/12/2005,1,Sunday,Domingo,Dimanche,4,338,49,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051205,05/12/2005,2,Monday,Lunes,Lundi,5,339,49,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051206,06/12/2005,3,Tuesday,Martes,Mardi,6,340,49,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051207,07/12/2005,4,Wednesday,Miércoles,Mercredi,7,341,49,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051208,08/12/2005,5,Thursday,Jueves,Jeudi,8,342,49,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051209,09/12/2005,6,Friday,Viernes,Vendredi,9,343,50,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051210,10/12/2005,7,Saturday,Sábado,Samedi,10,344,50,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051211,11/12/2005,1,Sunday,Domingo,Dimanche,11,345,50,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051212,12/12/2005,2,Monday,Lunes,Lundi,12,346,50,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051213,13/12/2005,3,Tuesday,Martes,Mardi,13,347,50,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051214,14/12/2005,4,Wednesday,Miércoles,Mercredi,14,348,50,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051215,15/12/2005,5,Thursday,Jueves,Jeudi,15,349,50,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051216,16/12/2005,6,Friday,Viernes,Vendredi,16,350,51,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051217,17/12/2005,7,Saturday,Sábado,Samedi,17,351,51,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051218,18/12/2005,1,Sunday,Domingo,Dimanche,18,352,51,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051219,19/12/2005,2,Monday,Lunes,Lundi,19,353,51,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051220,20/12/2005,3,Tuesday,Martes,Mardi,20,354,51,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051221,21/12/2005,4,Wednesday,Miércoles,Mercredi,21,355,51,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051222,22/12/2005,5,Thursday,Jueves,Jeudi,22,356,51,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051223,23/12/2005,6,Friday,Viernes,Vendredi,23,357,52,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051224,24/12/2005,7,Saturday,Sábado,Samedi,24,358,52,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051225,25/12/2005,1,Sunday,Domingo,Dimanche,25,359,52,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051226,26/12/2005,2,Monday,Lunes,Lundi,26,360,52,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051227,27/12/2005,3,Tuesday,Martes,Mardi,27,361,52,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051228,28/12/2005,4,Wednesday,Miércoles,Mercredi,28,362,52,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051229,29/12/2005,5,Thursday,Jueves,Jeudi,29,363,52,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051230,30/12/2005,6,Friday,Viernes,Vendredi,30,364,53,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20051231,31/12/2005,7,Saturday,Sábado,Samedi,31,365,53,December,Diciembre,Décembre,12,4,2005,2,2,2006,1
20060101,01/01/2006,1,Sunday,Domingo,Dimanche,1,1,1,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060102,02/01/2006,2,Monday,Lunes,Lundi,2,2,1,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060103,03/01/2006,3,Tuesday,Martes,Mardi,3,3,1,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060104,04/01/2006,4,Wednesday,Miércoles,Mercredi,4,4,1,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060105,05/01/2006,5,Thursday,Jueves,Jeudi,5,5,1,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060106,06/01/2006,6,Friday,Viernes,Vendredi,6,6,2,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060107,07/01/2006,7,Saturday,Sábado,Samedi,7,7,2,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060108,08/01/2006,1,Sunday,Domingo,Dimanche,8,8,2,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060109,09/01/2006,2,Monday,Lunes,Lundi,9,9,2,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060110,10/01/2006,3,Tuesday,Martes,Mardi,10,10,2,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060111,11/01/2006,4,Wednesday,Miércoles,Mercredi,11,11,2,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060112,12/01/2006,5,Thursday,Jueves,Jeudi,12,12,2,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060113,13/01/2006,6,Friday,Viernes,Vendredi,13,13,3,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060114,14/01/2006,7,Saturday,Sábado,Samedi,14,14,3,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060115,15/01/2006,1,Sunday,Domingo,Dimanche,15,15,3,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060116,16/01/2006,2,Monday,Lunes,Lundi,16,16,3,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060117,17/01/2006,3,Tuesday,Martes,Mardi,17,17,3,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060118,18/01/2006,4,Wednesday,Miércoles,Mercredi,18,18,3,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060119,19/01/2006,5,Thursday,Jueves,Jeudi,19,19,3,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060120,20/01/2006,6,Friday,Viernes,Vendredi,20,20,4,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060121,21/01/2006,7,Saturday,Sábado,Samedi,21,21,4,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060122,22/01/2006,1,Sunday,Domingo,Dimanche,22,22,4,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060123,23/01/2006,2,Monday,Lunes,Lundi,23,23,4,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060124,24/01/2006,3,Tuesday,Martes,Mardi,24,24,4,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060125,25/01/2006,4,Wednesday,Miércoles,Mercredi,25,25,4,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060126,26/01/2006,5,Thursday,Jueves,Jeudi,26,26,4,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060127,27/01/2006,6,Friday,Viernes,Vendredi,27,27,5,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060128,28/01/2006,7,Saturday,Sábado,Samedi,28,28,5,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060129,29/01/2006,1,Sunday,Domingo,Dimanche,29,29,5,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060130,30/01/2006,2,Monday,Lunes,Lundi,30,30,5,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060131,31/01/2006,3,Tuesday,Martes,Mardi,31,31,5,January,Enero,Janvier,1,1,2006,1,3,2006,2
20060201,01/02/2006,4,Wednesday,Miércoles,Mercredi,1,32,5,February,Febrero,Février,2,1,2006,1,3,2006,2
20060202,02/02/2006,5,Thursday,Jueves,Jeudi,2,33,5,February,Febrero,Février,2,1,2006,1,3,2006,2
20060203,03/02/2006,6,Friday,Viernes,Vendredi,3,34,6,February,Febrero,Février,2,1,2006,1,3,2006,2
