,ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
30,31.0,FC-3654,,,,Fork Crown,,,,0.0,NA,800.0,600.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
31,32.0,FC-3982,,,,Front Derailleur Cage,,,,0.0,Silver,800.0,600.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
32,33.0,FL-2301,,,,Front Derailleur Linkage,,,,0.0,Silver,800.0,600.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
33,34.0,GP-0982,,,,Guide Pulley,,,,0.0,NA,800.0,600.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
34,35.0,GT-0820,,,,LL Grip Tape,,,,0.0,NA,800.0,600.0,,,NA,,0.0,,,L,,,,,,,,,,,,,1212278400.0,,Current
35,36.0,GT-1209,,,,ML Grip Tape,,,,0.0,NA,800.0,600.0,,,NA,,0.0,,,M,,,,,,,,,,,,,1212278400.0,,Current
36,37.0,GT-2908,,,,HL Grip Tape,,,,0.0,NA,800.0,600.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
37,38.0,HJ-1213,,,,Thin-Jam Hex Nut 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
38,39.0,HJ-1220,,,,Thin-Jam Hex Nut 10,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
39,40.0,HJ-1420,,,,Thin-Jam Hex Nut 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
40,41.0,HJ-1428,,,,Thin-Jam Hex Nut 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
41,42.0,HJ-3410,,,,Thin-Jam Hex Nut 15,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
42,43.0,HJ-3416,,,,Thin-Jam Hex Nut 16,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
43,44.0,HJ-3816,,,,Thin-Jam Hex Nut 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
44,45.0,HJ-3824,,,,Thin-Jam Hex Nut 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
45,46.0,HJ-5161,,,,Thin-Jam Hex Nut 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
46,47.0,HJ-5162,,,,Thin-Jam Hex Nut 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
47,48.0,HJ-5811,,,,Thin-Jam Hex Nut 13,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
48,49.0,HJ-5818,,,,Thin-Jam Hex Nut 14,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
49,50.0,HJ-7161,,,,Thin-Jam Hex Nut 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
50,51.0,HJ-7162,,,,Thin-Jam Hex Nut 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
51,52.0,HJ-9080,,,,Thin-Jam Hex Nut 12,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
52,53.0,HJ-9161,,,,Thin-Jam Hex Nut 11,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
53,54.0,HN-1024,,,,Hex Nut 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
54,55.0,HN-1032,,,,Hex Nut 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
55,56.0,HN-1213,,,,Hex Nut 16,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
56,57.0,HN-1220,,,,Hex Nut 17,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
57,58.0,HN-1224,,,,Hex Nut 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
58,59.0,HN-1420,,,,Hex Nut 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
59,60.0,HN-1428,,,,Hex Nut 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
60,61.0,HN-3410,,,,Hex Nut 22,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
61,62.0,HN-3416,,,,Hex Nut 23,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
62,63.0,HN-3816,,,,Hex Nut 12,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
63,64.0,HN-3824,,,,Hex Nut 13,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
64,65.0,HN-4402,,,,Hex Nut 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
65,66.0,HN-5161,,,,Hex Nut 10,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
66,67.0,HN-5162,,,,Hex Nut 11,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
67,68.0,HN-5400,,,,Hex Nut 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
68,69.0,HN-5811,,,,Hex Nut 20,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
69,70.0,HN-5818,,,,Hex Nut 21,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
70,71.0,HN-6320,,,,Hex Nut 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
71,72.0,HN-7161,,,,Hex Nut 14,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
72,73.0,HN-7162,,,,Hex Nut 15,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
73,74.0,HN-8320,,,,Hex Nut 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
74,75.0,HN-9161,,,,Hex Nut 18,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
75,76.0,HN-9168,,,,Hex Nut 19,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
76,77.0,HT-2981,,,,Handlebar Tube,,,,0.0,NA,800.0,600.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
77,78.0,HT-8019,,,,Head Tube,,,,0.0,NA,800.0,600.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
78,79.0,HU-6280,,,,LL Hub,,,,0.0,NA,500.0,375.0,,,NA,,1.0,,,L,,,,,,,,,,,,,1212278400.0,,Current
79,80.0,HU-8998,,,,HL Hub,,,,0.0,NA,500.0,375.0,,,NA,,1.0,,,,,,,,,,,,,,,,1212278400.0,,Current
80,81.0,KW-4091,,,,Keyed Washer,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
81,82.0,LE-1000,,,,External Lock Washer 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
82,83.0,LE-1200,,,,External Lock Washer 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
83,84.0,LE-1201,,,,External Lock Washer 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
84,85.0,LE-1400,,,,External Lock Washer 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
85,86.0,LE-3800,,,,External Lock Washer 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
86,87.0,LE-5160,,,,External Lock Washer 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
87,88.0,LE-6000,,,,External Lock Washer 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
88,89.0,LE-7160,,,,External Lock Washer 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
89,90.0,LE-8000,,,,External Lock Washer 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
90,91.0,LI-1000,,,,Internal Lock Washer 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
91,92.0,LI-1200,,,,Internal Lock Washer 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
92,93.0,LI-1201,,,,Internal Lock Washer 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
93,94.0,LI-1400,,,,Internal Lock Washer 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
94,95.0,LI-3800,,,,Internal Lock Washer 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
95,96.0,LI-5160,,,,Internal Lock Washer 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
96,97.0,LI-5800,,,,Internal Lock Washer 10,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
97,98.0,LI-6000,,,,Internal Lock Washer 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
98,99.0,LI-7160,,,,Internal Lock Washer 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
99,100.0,LI-8000,,,,Internal Lock Washer 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
100,101.0,LJ-1213,,,,Thin-Jam Lock Nut 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
101,102.0,LJ-1220,,,,Thin-Jam Lock Nut 10,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
102,103.0,LJ-1420,,,,Thin-Jam Lock Nut 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
103,104.0,LJ-1428,,,,Thin-Jam Lock Nut 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
104,105.0,LJ-3410,,,,Thin-Jam Lock Nut 15,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
105,106.0,LJ-3416,,,,Thin-Jam Lock Nut 16,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
106,107.0,LJ-3816,,,,Thin-Jam Lock Nut 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
107,108.0,LJ-3824,,,,Thin-Jam Lock Nut 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
108,109.0,LJ-5161,,,,Thin-Jam Lock Nut 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
109,110.0,LJ-5162,,,,Thin-Jam Lock Nut 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
110,111.0,LJ-5811,,,,Thin-Jam Lock Nut 13,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
111,112.0,LJ-5818,,,,Thin-Jam Lock Nut 14,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
112,113.0,LJ-7161,,,,Thin-Jam Lock Nut 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
113,114.0,LJ-7162,,,,Thin-Jam Lock Nut 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
114,115.0,LJ-9080,,,,Thin-Jam Lock Nut 12,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
115,116.0,LJ-9161,,,,Thin-Jam Lock Nut 11,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
116,117.0,LN-1024,,,,Lock Nut 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
117,118.0,LN-1032,,,,Lock Nut 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
118,119.0,LN-1213,,,,Lock Nut 16,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
119,120.0,LN-1220,,,,Lock Nut 17,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
120,121.0,LN-1224,,,,Lock Nut 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
121,122.0,LN-1420,,,,Lock Nut 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
122,123.0,LN-1428,,,,Lock Nut 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
123,124.0,LN-3410,,,,Lock Nut 22,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
124,125.0,LN-3416,,,,Lock Nut 23,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
125,126.0,LN-3816,,,,Lock Nut 12,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
126,127.0,LN-3824,,,,Lock Nut 13,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
127,128.0,LN-4400,,,,Lock Nut 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
128,129.0,LN-5161,,,,Lock Nut 10,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
129,130.0,LN-5162,,,,Lock Nut 11,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
130,131.0,LN-5400,,,,Lock Nut 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
131,132.0,LN-5811,,,,Lock Nut 20,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
132,133.0,LN-5818,,,,Lock Nut 21,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
133,134.0,LN-6320,,,,Lock Nut 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
134,135.0,LN-7161,,,,Lock Nut 14,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
135,136.0,LN-7162,,,,Lock Nut 15,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
136,137.0,LN-8320,,,,Lock Nut 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
137,138.0,LN-9080,,,,Lock Nut 19,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
138,139.0,LN-9161,,,,Lock Nut 18,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
139,140.0,LR-2398,,,,Lock Ring,,,,0.0,Silver,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
140,141.0,LR-8520,,,,Lower Head Race,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
141,142.0,LW-1000,,,,Lock Washer 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
142,143.0,LW-1200,,,,Lock Washer 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
143,144.0,LW-1201,,,,Lock Washer 10,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
144,145.0,LW-1400,,,,Lock Washer 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
145,146.0,LW-3400,,,,Lock Washer 13,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
146,147.0,LW-3800,,,,Lock Washer 8,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
147,148.0,LW-4000,,,,Lock Washer 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
148,149.0,LW-5160,,,,Lock Washer 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
149,150.0,LW-5800,,,,Lock Washer 12,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
150,151.0,LW-6000,,,,Lock Washer 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
151,152.0,LW-7160,,,,Lock Washer 9,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
152,153.0,LW-8000,,,,Lock Washer 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
153,154.0,LW-9160,,,,Lock Washer 11,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
154,155.0,MA-7075,,,,Metal Angle,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
155,156.0,MB-2024,,,,Metal Bar 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
156,157.0,MB-6061,,,,Metal Bar 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
157,158.0,MP-2066,,,,Metal Plate 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
158,159.0,MP-2503,,,,Metal Plate 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
159,160.0,MP-4960,,,,Metal Plate 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
160,161.0,MS-0253,,,,Metal Sheet 2,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
161,162.0,MS-1256,,,,Metal Sheet 3,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
162,163.0,MS-1981,,,,Metal Sheet 7,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
163,164.0,MS-2259,,,,Metal Sheet 4,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
164,165.0,MS-2341,,,,Metal Sheet 5,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
165,166.0,MS-2348,,,,Metal Sheet 6,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
166,167.0,MS-6061,,,,Metal Sheet 1,,,,0.0,NA,1000.0,750.0,,,NA,,0.0,,,,,,,,,,,,,,,,1212278400.0,,Current
